STA,LON,LAT,ASSCM_SC,KAYEN_SC,ASSCM_VS,KAYEN_VS,USGS_VS,HVSR_VS,PWAVE_VS,ARRAY_VS
LM01,116.791399999999996,-34.395000000000003,CD,,360,nan,276,nan,nan,nan
AUKUL,118.152198999999996,-32.669701000000003,D,,270,nan,434,nan,nan,nan
AUALB,117.904601999999997,-34.999499999999998,CD,,360,nan,578,nan,nan,nan
NWA,117.233300000000000,-32.926600000000001,C,,560,nan,684,nan,nan,nan
NWAO,117.239000000000004,-32.927700000000002,C,,560,nan,692,1187,1122,351
CORR,117.705299999999994,-32.189200000000000,C,,560,nan,429,nan,nan,nan
RKG,117.010400000000004,-34.569800000000001,CD,,360,nan,508,nan,nan,nan
PIN,118.614300000000000,-33.516500000000001,CD,,360,nan,852,nan,nan,nan
CSY,110.528899999999993,-66.289400000000001,B,,1100,nan,nan,nan,nan,nan
RKGY,116.977300000000000,-34.609400000000001,C,,560,nan,429,959,746,481
LM03,116.929199999999994,-34.367699999999999,C,,560,nan,437,nan,nan,nan
CANM,116.128000000000000,-32.152000000000001,BC,,760,nan,843,nan,nan,nan
MAW,62.871600000000001,-67.606600000000000,B,,1100,nan,nan,nan,nan,nan
LM02,116.640500000000003,-34.492800000000003,C,,560,nan,589,nan,nan,nan
LM04,116.645600000000002,-34.338000000000001,C,,560,nan,605,nan,nan,nan
LM05,116.324900000000000,-34.383400000000002,C,,560,nan,637,nan,nan,nan
EPS,115.881000000000000,-31.945000000000000,DE,,180,nan,476,nan,nan,nan
AUMAZ,116.038398999999998,-32.006900999999999,C,,560,nan,925,nan,nan,nan
AUHAR,115.891197000000005,-33.092700999999998,CD,,360,nan,351,nan,nan,nan
AUBUS,115.382796999999997,-33.660099000000002,CD,,360,nan,322,nan,nan,nan
RAV2,120.796300000000002,-33.744900000000001,B,,1100,nan,694,nan,nan,nan
NOR11,122.089299999999994,-32.417900000000003,B,,1100,nan,410,nan,nan,nan
CA3,117.047799999999995,-30.510000000000002,BC,,760,nan,581,nan,nan,nan
K01,116.863799999999998,-31.024999999999999,CD,,360,nan,492,nan,nan,nan
CAA,117.150999999999996,-30.745999999999999,C,,560,nan,354,nan,nan,nan
KALJ,117.150999999999996,-30.745999999999999,C,,560,nan,354,nan,nan,nan
GOK,116.852000000000004,-31.338000000000001,B,,1100,nan,506,nan,nan,nan
KLB,117.760000000000005,-31.591699999999999,B,,1100,nan,870,nan,nan,nan
KLBR,117.754599999999996,-31.591500000000000,B,,1100,nan,905,nan,777,nan
MEEK,118.614000000000004,-26.638000000000002,C,,560,nan,286,534,696,nan
GOO,116.852000000000004,-31.393999999999998,BC,,760,nan,574,nan,nan,nan
BK3,117.296300000000002,-30.244399999999999,CD,,360,nan,417,nan,nan,nan
KOO3,117.344899999999996,-30.062100000000001,CD,,360,nan,548,nan,nan,nan
BK4,117.102599999999995,-30.474000000000000,B,,1100,nan,432,nan,nan,nan
DAM,116.871499999999997,-30.430399999999999,D,,270,nan,474,nan,nan,nan
BK2,116.942099999999996,-30.452400000000001,BC,,760,nan,582,nan,nan,nan
FAW,117.012400000000000,-30.328399999999998,D,,270,nan,478,nan,nan,nan
PIG2,116.791799999999995,-30.847600000000000,B,B,1100,1232,591,nan,1122,nan
K03,117.512500000000003,-30.637499999999999,CD,,360,nan,343,nan,nan,nan
MOR,117.088999999999999,-31.658999999999999,BC,,760,nan,588,nan,nan,nan
CMC,117.096400000000003,-30.791599999999999,D,C,270,474,384,nan,416,nan
K17,117.075400000000002,-30.757800000000000,D,,270,nan,395,nan,nan,nan
FLAT,117.147000000000006,-30.716999999999999,B,,1100,nan,477,nan,nan,nan
PIG,116.926199999999994,-30.570300000000000,CD,,360,nan,509,nan,nan,nan
PIG3,116.483699999999999,-30.315200000000001,CD,B,360,1101,232,nan,1017,nan
BAL,116.706699999999998,-30.606700000000000,BC,,760,nan,396,nan,nan,nan
BLDU,116.709100000000007,-30.611899999999999,BC,,760,nan,418,nan,1069,nan
BK5,117.121899999999997,-30.519400000000001,BC,C,760,565,514,nan,970,nan
K08,117.179199999999994,-30.679200000000002,CD,,360,nan,346,nan,nan,nan
BK8,117.219800000000006,-30.580300000000001,CD,,360,nan,449,nan,nan,nan
BK10,117.106899999999996,-30.486899999999999,CD,,360,nan,383,nan,nan,nan
BKN,117.126999999999995,-30.494000000000000,CD,,360,nan,366,nan,nan,nan
K04,117.160200000000003,-30.411799999999999,CD,,360,nan,307,nan,nan,nan
K20,117.183300000000003,-30.756699999999999,C,,560,nan,457,nan,nan,nan
NNO,116.256699999999995,-30.989999999999998,C,,560,nan,709,nan,nan,nan
K05,117.085800000000006,-30.673700000000000,D,,270,nan,358,nan,nan,nan
EMMO,117.123000000000005,-30.895000000000000,C,,560,nan,568,nan,nan,nan
K09,117.086900000000000,-30.702800000000000,CD,,360,nan,396,nan,nan,nan
K10,117.118300000000005,-30.703700000000001,CD,,360,nan,533,nan,nan,nan
K13,117.091300000000004,-30.721699999999998,CD,,360,nan,494,nan,nan,nan
K14,117.119799999999998,-30.730799999999999,CD,,360,nan,357,nan,nan,nan
CA2,117.217200000000005,-30.527400000000000,C,,560,nan,476,nan,nan,nan
KOO1,117.760000000000005,-30.649999999999999,B,,1100,nan,501,nan,nan,nan
CA1,117.144700000000000,-30.782399999999999,D,,270,nan,352,nan,nan,nan
K18,117.112300000000005,-30.758700000000001,D,,270,nan,431,nan,nan,nan
BK6,117.084999999999994,-30.516100000000002,BC,,760,nan,545,nan,nan,nan
K15,117.153000000000006,-30.725700000000000,D,,270,nan,389,nan,nan,nan
K16,117.187299999999993,-30.725700000000000,D,,270,nan,627,nan,nan,nan
MORW,116.038799999999995,-29.068300000000001,B,,1100,nan,440,nan,1088,nan
K11,117.148799999999994,-30.706700000000001,B,,1100,nan,626,nan,nan,nan
DOW,116.981999999999999,-31.010000000000002,B,,1100,nan,813,nan,nan,nan
BK1,116.997100000000003,-30.519500000000001,BC,,760,nan,515,nan,nan,nan
KOO2,116.998999999999995,-30.510000000000002,BC,,760,nan,510,nan,nan,nan
K06,117.114999999999995,-30.673700000000000,D,,270,nan,395,nan,nan,nan
BK9,116.980999999999995,-30.630199999999999,C,,560,nan,409,nan,nan,nan
CA4,117.092900000000000,-30.650800000000000,BC,,760,nan,528,nan,nan,nan
BK7,117.181500000000000,-30.459700000000002,CD,,360,nan,315,nan,nan,nan
K19,117.153300000000002,-30.756399999999999,CD,,360,nan,451,nan,nan,nan
MAN,117.148300000000006,-30.877500000000001,D,,270,nan,300,nan,nan,nan
MRWA,115.995999999999995,-29.218000000000000,D,,270,nan,343,nan,nan,nan
KOOL,119.486999999999995,-30.780999999999999,D,,270,nan,293,nan,nan,nan
K07,117.147000000000006,-30.672999999999998,C,,560,nan,486,nan,nan,nan
K02,117.358300000000000,-31.041699999999999,B,,1100,nan,438,nan,nan,nan
AUKAL,121.478897000000003,-30.763700000000000,D,,270,nan,472,nan,nan,nan
KLG,121.458299999999994,-30.783300000000001,D,,270,nan,420,nan,nan,nan
KLGA,121.438299999999998,-30.716699999999999,D,,270,nan,431,nan,nan,nan
KLGHS,121.473347000000004,-30.746267000000000,D,,270,nan,528,nan,nan,nan
KLGHH,121.752683000000005,-30.750014000000000,B,,1100,nan,381,nan,nan,nan
KMBL,121.890600000000006,-31.368200000000002,BC,,760,nan,462,547,1059,nan
MENZ,121.029399999999995,-29.694099999999999,BC,,760,nan,349,nan,nan,nan
TROP,121.029399999999995,-29.694099999999999,BC,,760,nan,349,nan,nan,nan
COOL,121.144999999999996,-30.883299999999998,BC,,760,nan,481,nan,nan,nan
KLGGI,121.761032999999998,-30.283214000000001,D,,270,nan,264,nan,nan,nan
