ORIGIN,GAID,EQLO,EQLA,EQDEP,OMAG,MAGTYPE,MW,MWSRC,STA,STLO,STLA,REPI,SAMPLING_RATE,MSEEDFILE
1989-12-27T23:26:57.000000Z,ga1989zmqbgf,151.607,-32.946,11,5.4,Mwp,5.4,Mwp,LGT,147.46358,-36.76326,567.8,100,ea_data/1989-12-27T23.28.MEL.LGT.mseed
1989-12-27T23:26:57.000000Z,ga1989zmqbgf,151.607,-32.946,11,5.4,Mwp,5.4,Mwp,ABE,146.389012,-37.719352,710.4,100,ea_data/1989-12-27T23.29.MEL.ABE.mseed
1989-12-27T23:26:57.000000Z,ga1989zmqbgf,151.607,-32.946,11,5.4,Mwp,5.4,Mwp,KOWA,144.5214,-35.7909,723.8,200,ea_data/1989-12-27T23.30.MEL.KOWA.mseed
1989-12-27T23:26:57.000000Z,ga1989zmqbgf,151.607,-32.946,11,5.4,Mwp,5.4,Mwp,MIC,146.359389,-37.903344,727.1,100,ea_data/1989-12-27T23.28.MEL.MIC.mseed
1989-12-27T23:26:57.000000Z,ga1989zmqbgf,151.607,-32.946,11,5.4,Mwp,5.4,Mwp,HOP,144.20458,-35.99638,759.2,100,ea_data/1989-12-27T23.30.MEL.HOP.mseed
1989-12-27T23:26:57.000000Z,ga1989zmqbgf,151.607,-32.946,11,5.4,Mwp,5.4,Mwp,WSK,144.05327,-36.8138,812.5,100,ea_data/1989-12-27T23.28.MEL.WSK.mseed
1989-12-27T23:26:57.000000Z,ga1989zmqbgf,151.607,-32.946,11,5.4,Mwp,5.4,Mwp,MEM,144.49613,-37.63576,829.4,100,ea_data/1989-12-27T23.28.MEL.MEM.mseed
1989-12-27T23:26:57.000000Z,ga1989zmqbgf,151.607,-32.946,11,5.4,Mwp,5.4,Mwp,TOD,144.497,-37.637,829.5,100,ea_data/1989-12-27T23.28.MEL.TOD.mseed
1990-01-17T06:38:08.000000Z,ga1990bdwvef,116.99,-31.72,6,5.5,mb,5.21,2023mb2MW,DOW,116.982,-31.01,78.7,200,bkn_data/bkn_mseed/1990-01-17T06.38.AU.DOW.A.mseed
1990-11-27T21:16:26.000000Z,ga1990xjjyjn,133.599,-20.046,0,5.2,mb,4.89,2023mb2MW,STK,141.592,-31.882,1535,20,sd_data/1990-11-27T21.12.AU.STK.mseed
1991-03-07T01:28:08.000000Z,ga1991eplddz,133.809,-20.021,2,5.1,mb,4.79,2023mb2MW,CTA,146.255,-20.088,1301.7,20,sd_data/1991-03-07T01.24.AU.CTA.mseed
1991-03-07T01:28:08.000000Z,ga1991eplddz,133.809,-20.021,2,5.1,mb,4.79,2023mb2MW,STK,141.592,-31.882,1526.6,20,sd_data/1991-03-07T01.24.AU.STK.mseed
1991-06-19T11:38:24.000000Z,ga1991lzcwor,133.95,-19.79,8,5.1,ML,4.93,2018ML2MW,CTAO,146.255,-20.088,1288.3,20,sd_data/1991-06-19T11.34.IU.CTAO.mseed
1991-07-08T10:45:34.000000Z,ga1991nhxxtt,133.866,-19.861,5,5,ML,4.84,2018ML2MW,CTAO,146.255,-20.088,1296.6,20,sd_data/1991-07-08T10.41.IU.CTAO.mseed
1991-07-08T10:45:34.000000Z,ga1991nhxxtt,133.866,-19.861,5,5,ML,4.84,2018ML2MW,STK,141.592,-31.882,1539.2,20,sd_data/1991-07-08T10.41.AU.STK.mseed
1991-08-06T14:11:48.000000Z,ga1991pjkuzy,143.506,-18.222,17,4.8,ML,4.66,2018ML2MW,CTAO,146.255,-20.088,355.7,20,1991-08-06T14.07.IU.CTAO.mseed
1992-06-13T18:05:21.000000Z,ga1992lqlbpu,130.05,-23.66,16,5.1,mb,4.79,2023mb2MW,STK,141.592,-31.882,1455.9,20,sd_data/1992-06-13T18.01.AU.STK.mseed
1992-06-13T18:05:21.000000Z,ga1992lqlbpu,130.05,-23.66,16,5.1,mb,4.79,2023mb2MW,CTAO,146.255,-20.088,1719.8,20,sd_data/1992-06-13T18.01.IU.CTAO.mseed
1992-09-30T11:18:07.000000Z,ga1992thzsqb,134.573,-11.354,39,5.4,mb,5.11,2023mb2MW,CTAO,146.255,-20.088,1580.9,20,sd_data/1992-09-30T11.14.IU.CTAO.mseed
1993-10-21T05:27:28.000000Z,ga1993usgqbm,133.944,-19.862,5,4.8,ML,4.66,2018ML2MW,CTAO,146.255,-20.088,1288.4,20,1993-10-21T05.23.IU.CTAO.mseed
1993-10-21T05:27:28.000000Z,ga1993usgqbm,133.944,-19.862,5,4.8,ML,4.66,2018ML2MW,CTA,146.255,-20.088,1288.5,20,1993-10-21T05.23.AU.CTA.mseed
1993-12-18T19:27:31.000000Z,ga1993yvuozu,133.8567,-11.8274,19.3,4.8,mb,4.47,2023mb2MW,SB01,139.589,-25.792,1659.1,25,sd_data/1993-12-18T19.25.7B.SB01.mseed
1994-02-01T05:53:08.000000Z,ga1994cfjfpg,146.352,-38.537,17,3.8,MLa,3.67,Allen (2025),MTLZ,146.5705,-38.4131,23.6,100,ea_data/1994-02-01T05.53.MEL.MTLZ.mseed
1994-02-01T05:53:08.000000Z,ga1994cfjfpg,146.352,-38.537,17,3.8,MLa,3.67,Allen (2025),TYR,146.4354,-38.1083,48.1,100,ea_data/1994-02-01T05.53.MEL.TYR.mseed
1994-02-01T05:53:08.000000Z,ga1994cfjfpg,146.352,-38.537,17,3.8,MLa,3.67,Allen (2025),PAT,146.455572,-37.857253,75.9,100,ea_data/1994-02-01T05.53.MEL.PAT.mseed
1994-02-01T05:53:08.000000Z,ga1994cfjfpg,146.352,-38.537,17,3.8,MLa,3.67,Allen (2025),TOS,146.40573,-37.82428,79.2,100,ea_data/1994-02-01T05.53.MEL.TOS.mseed
1994-02-01T05:53:08.000000Z,ga1994cfjfpg,146.352,-38.537,17,3.8,MLa,3.67,Allen (2025),SIN,146.292,-37.739,88.6,100,ea_data/1994-02-01T05.53.MEL.SIN.mseed
1994-02-01T05:53:08.000000Z,ga1994cfjfpg,146.352,-38.537,17,3.8,MLa,3.67,Allen (2025),ABE,146.389012,-37.719352,90.7,100,ea_data/1994-02-01T05.53.MEL.ABE.mseed
1994-02-01T05:53:08.000000Z,ga1994cfjfpg,146.352,-38.537,17,3.8,MLa,3.67,Allen (2025),MCV,145.89867,-37.69085,101.8,100,ea_data/1994-02-01T05.53.MEL.MCV.mseed
1994-02-01T05:53:08.000000Z,ga1994cfjfpg,146.352,-38.537,17,3.8,MLa,3.67,Allen (2025),GOG,142.4,-36.888,393.9,100,1994-02-01T05.54.MEL.GOG.mseed
1994-08-06T11:03:51.000000Z,ga1994pjepaz,151.288,-32.924,2,4.7,mwt,5.34,Allen (2025),NLD,151.7009,-32.9003,38.3,100,ea_data/1994-08-06T11.03.MEL.NLD.mseed
1994-08-06T11:03:51.000000Z,ga1994pjepaz,151.288,-32.924,2,4.7,mwt,5.34,Allen (2025),KIM,151.7507,-32.9518,43.1,100,ea_data/1994-08-06T11.03.MEL.KIM.mseed
