STA,CHA,LOC
BW1H,HNE,2
BW1H,HNN,2
BW1H,HNZ,2
CARL,HNE,2
CARL,HNN,2
CARL,HNZ,2
CORO,HNE,2
CORO,HNN,2
CORO,HNZ,2
GC2F,HNE,2
GC2F,HNN,2
GC2F,HNZ,2
GD1S,EHE,2
GD1S,EHN,2
GD1S,EHZ,2
GD1S,HNE,2
GD1S,HNN,2
GD1S,HNZ,2
GEXS,HNE,2
GEXS,HNN,2
GEXS,HNZ,2
GLAD,HNE,2
GLAD,HNN,2
GLAD,HNZ,2
GVL,EHE,2
GVL,EHN,2
GVL,EHZ,2
GVL,HNE,2
GVL,HNN,2
GVL,HNZ,2
HTT,BHE,2
HTT,BHN,2
HTT,BHZ,2
MLBS,HNE,2
MLBS,HNN,2
MLBS,HNZ,2
NAPP,EHZ,2
NTLS,EHE,2
NTLS,EHN,2
NTLS,EHZ,2
NTLS,HNE,2
NTLS,HNN,2
NTLS,HNZ,2
RK1H,HNE,2
RK1H,HNN,2
RK1H,HNZ,2
SYDH,HNE,2
SYDH,HNN,2
SYDH,HNZ,2
SYDS,HNE,2
SYDS,HNN,2
SYDS,HNZ,2
TW1H,EHE,2
TW1H,EHN,2
TW1H,EHZ,2
TW1H,HNE,2
TW1H,HNN,2
TW1H,HNZ,2
