,Unnamed: 0,ORIGIN,GAID,EQLO,EQLA,EQDEP,OMAG,MAGTYPE,MW,MWSRC,STA,STLO,STLA,REPI,SAMPLING_RATE,MSEEDFILE,mseed_path,STA_ORIG,NET,LOC,CHA,event_origin,VS,VS_FLAG,REV_NET,PAZ_FILE,PAZ_CRN_FREQ,PAZ_CONSTANT,REV_CHA,STEL,Description
30,10,1991-03-07T01:28:08.000000Z,ga1991eplddz,133.809,-20.021,2.0,5.1,mb,4.79,2023mb2MW,CTA,146.255,-20.088,1301.7,20.0,sd_data/1991-03-07T01.24.AU.CTA.mseed,../inputs/wf_data/1991-03-07T01.24.AU.CTA.mseed,CTA,AU,,SHE,1991-03-07 01:28:08,932.2499999999999,proxy,AU,../inputs/paz/cmg-3t-100s.paz,0.01,376832000.0,BHE,426.0,"AU.CTA (Charters Towers, Queensland)"
32,10,1991-03-07T01:28:08.000000Z,ga1991eplddz,133.809,-20.021,2.0,5.1,mb,4.79,2023mb2MW,CTA,146.255,-20.088,1301.7,20.0,sd_data/1991-03-07T01.24.AU.CTA.mseed,../inputs/wf_data/1991-03-07T01.24.AU.CTA.mseed,CTA,AU,,SHN,1991-03-07 01:28:08,932.2499999999999,proxy,AU,../inputs/paz/cmg-3t-100s.paz,0.01,376832000.0,BHN,426.0,"AU.CTA (Charters Towers, Queensland)"
33,10,1991-03-07T01:28:08.000000Z,ga1991eplddz,133.809,-20.021,2.0,5.1,mb,4.79,2023mb2MW,CTA,146.255,-20.088,1301.7,20.0,sd_data/1991-03-07T01.24.AU.CTA.mseed,../inputs/wf_data/1991-03-07T01.24.AU.CTA.mseed,CTA,AU,,SHZ,1991-03-07 01:28:08,932.2499999999999,proxy,AU,../inputs/paz/cmg-3t-100s.paz,0.01,376832000.0,BHZ,426.0,"AU.CTA (Charters Towers, Queensland)"
75,20,1993-10-21T05:27:28.000000Z,ga1993usgqbm,133.944,-19.862,5.0,4.8,ML,4.66,2018ML2MW,CTA,146.255,-20.088,1288.5,20.0,1993-10-21T05.23.AU.CTA.mseed,../inputs/wf_data/1993-10-21T05.23.AU.CTA.mseed,CTA,AU,,SHE,1993-10-21 05:27:28,932.2499999999999,proxy,AU,../inputs/paz/cmg-3t-100s.paz,0.01,376832000.0,BHE,426.0,"AU.CTA (Charters Towers, Queensland)"
76,20,1993-10-21T05:27:28.000000Z,ga1993usgqbm,133.944,-19.862,5.0,4.8,ML,4.66,2018ML2MW,CTA,146.255,-20.088,1288.5,20.0,1993-10-21T05.23.AU.CTA.mseed,../inputs/wf_data/1993-10-21T05.23.AU.CTA.mseed,CTA,AU,,SHN,1993-10-21 05:27:28,932.2499999999999,proxy,AU,../inputs/paz/cmg-3t-100s.paz,0.01,376832000.0,BHN,426.0,"AU.CTA (Charters Towers, Queensland)"
77,20,1993-10-21T05:27:28.000000Z,ga1993usgqbm,133.944,-19.862,5.0,4.8,ML,4.66,2018ML2MW,CTA,146.255,-20.088,1288.5,20.0,1993-10-21T05.23.AU.CTA.mseed,../inputs/wf_data/1993-10-21T05.23.AU.CTA.mseed,CTA,AU,,SHZ,1993-10-21 05:27:28,932.2499999999999,proxy,AU,../inputs/paz/cmg-3t-100s.paz,0.01,376832000.0,BHZ,426.0,"AU.CTA (Charters Towers, Queensland)"
174,51,1994-08-06T11:03:51.000000Z,ga1994pjepaz,151.288,-32.924,2.0,4.7,mwt,5.34,Allen (2025),CAN,148.998,-35.32,339.5,1.0,sd_data/1994-08-06T10.59.G.CAN.mseed,../inputs/wf_data/1994-08-06T10.59.G.CAN.mseed,CAN,G,,EHE,1994-08-06 11:03:51,809.5,proxy,G,../inputs/paz/sts1.paz,0.02,232038400.0,NOPEHE,,
175,51,1994-08-06T11:03:51.000000Z,ga1994pjepaz,151.288,-32.924,2.0,4.7,mwt,5.34,Allen (2025),CAN,148.998,-35.32,339.5,0.1,sd_data/1994-08-06T10.59.G.CAN.mseed,../inputs/wf_data/1994-08-06T10.59.G.CAN.mseed,CAN,G,,EHE,1994-08-06 11:03:51,809.5,proxy,G,../inputs/paz/sts1.paz,0.02,232038400.0,NOPEHE,,
176,51,1994-08-06T11:03:51.000000Z,ga1994pjepaz,151.288,-32.924,2.0,4.7,mwt,5.34,Allen (2025),CAN,148.998,-35.32,339.5,1.0,sd_data/1994-08-06T10.59.G.CAN.mseed,../inputs/wf_data/1994-08-06T10.59.G.CAN.mseed,CAN,G,,EHN,1994-08-06 11:03:51,809.5,proxy,G,../inputs/paz/sts1.paz,0.02,233881600.0,NOPEHN,,
177,51,1994-08-06T11:03:51.000000Z,ga1994pjepaz,151.288,-32.924,2.0,4.7,mwt,5.34,Allen (2025),CAN,148.998,-35.32,339.5,0.1,sd_data/1994-08-06T10.59.G.CAN.mseed,../inputs/wf_data/1994-08-06T10.59.G.CAN.mseed,CAN,G,,EHN,1994-08-06 11:03:51,809.5,proxy,G,../inputs/paz/sts1.paz,0.02,233881600.0,NOPEHN,,
