,Unnamed: 0,ORIGIN,GAID,EQLO,EQLA,EQDEP,OMAG,MAGTYPE,MW,MWSRC,STA,STLO,STLA,REPI,SAMPLING_RATE,MSEEDFILE,mseed_path,STA_ORIG,NET,LOC,CHA,event_origin,VS,VS_FLAG,REV_NET,PAZ_FILE,PAZ_CRN_FREQ,PAZ_CONSTANT,REV_CHA,STEL,Description
30,10,1991-03-07T01:28:08.000000Z,ga1991eplddz,133.809,-20.021,2.0,5.1,mb,4.79,2023mb2MW,CTA,146.255,-20.088,1301.7,20.0,sd_data/1991-03-07T01.24.AU.CTA.mseed,../inputs/wf_data/1991-03-07T01.24.AU.CTA.mseed,CTA,AU,,SHE,1991-03-07 01:28:08,932.2499999999999,proxy,AU,../inputs/paz/cmg-3t-100s.paz,0.01,376832000.0,BHE,426.0,"AU.CTA (Charters Towers, Queensland)"
84,23,1994-02-01T05:53:08.000000Z,ga1994cfjfpg,146.352,-38.537,17.0,3.8,MLa,3.67,Allen (2025),TYR,146.4354,-38.1083,48.1,100.0,ea_data/1994-02-01T05.53.MEL.TYR.mseed,../inputs/wf_data/1994-02-01T05.53.MEL.TYR.mseed,TYR,ME,,EHE,1994-02-01 05:53:08,1004.5,proxy,OZ,../inputs/paz/s6000-2hz.paz,1.84,47605350.400000006,EHE,,
87,24,1994-02-01T05:53:08.000000Z,ga1994cfjfpg,146.352,-38.537,17.0,3.8,MLa,3.67,Allen (2025),PAT,146.455572,-37.857253,75.9,100.0,ea_data/1994-02-01T05.53.MEL.PAT.mseed,../inputs/wf_data/1994-02-01T05.53.MEL.PAT.mseed,PAT,ME,,EHE,1994-02-01 05:53:08,830.5000000000001,proxy,OZ,../inputs/paz/s6000-2hz.paz,1.84,238770000.0,EHE,,
96,27,1994-02-01T05:53:08.000000Z,ga1994cfjfpg,146.352,-38.537,17.0,3.8,MLa,3.67,Allen (2025),ABE,146.389012,-37.719352,90.7,100.0,ea_data/1994-02-01T05.53.MEL.ABE.mseed,../inputs/wf_data/1994-02-01T05.53.MEL.ABE.mseed,ABE,ME,,EHE,1994-02-01 05:53:08,572.5,proxy,OZ,../inputs/paz/s6000-2hz.paz,1.84,87241523.2,EHE,,
174,51,1994-08-06T11:03:51.000000Z,ga1994pjepaz,151.288,-32.924,2.0,4.7,mwt,5.34,Allen (2025),CAN,148.998,-35.32,339.5,1.0,sd_data/1994-08-06T10.59.G.CAN.mseed,../inputs/wf_data/1994-08-06T10.59.G.CAN.mseed,CAN,G,,EHE,1994-08-06 11:03:51,809.5,proxy,G,../inputs/paz/sts1.paz,0.02,232038400.0,NOPEHE,,
190,55,1994-08-06T11:03:51.000000Z,ga1994pjepaz,151.288,-32.924,2.0,4.7,mwt,5.34,Allen (2025),STKA,141.5952,-31.8769,919.2,20.0,ea_data/1994-08-06T10.59.AU.STKA.mseed,../inputs/wf_data/1994-08-06T10.59.AU.STKA.mseed,STKA,AU,,SHZ,1994-08-06 11:03:51,622.0,proxy,AU,../inputs/paz/cmg-3t-120s.paz,0.01,491520000.0,BHZ,230.0,"AU.STKA (Stephens Creek, NSW)"
193,58,1994-08-06T11:03:51.000000Z,ga1994pjepaz,151.288,-32.924,2.0,4.7,mwt,5.34,Allen (2025),SC05,135.784,-16.967,2355.3,25.0,sd_data/1994-08-06T11.01.7B.SC05.mseed,../inputs/wf_data/1994-08-06T11.01.7B.SC05.mseed,SC05,7B,,BHE,1994-08-06 11:03:51,710.4999999999999,proxy,7B,dataless,dataless,dataless,BHE,201.0,7B.SC05 (Mallapunyah)
217,66,1994-08-21T05:53:51.000000Z,ga1994qkifcs,148.364,-33.421,1.0,4.1,MLa,4.11,Allen (2025),ARMA,151.628,-30.4198,454.2,20.0,ea_data/1994-08-21T05.51.AU.ARMA.mseed,../inputs/wf_data/1994-08-21T05.51.AU.ARMA.mseed,ARMA,AU,,SHE,1994-08-21 05:53:51,896.0,proxy,AU,../inputs/paz/cmg-3t-100s.paz,0.01,283415347.2,BHE,1112.0,"AU.ARMA (Armidale, New South Wales)"
223,68,1994-08-31T20:48:30.000000Z,ga1994rdvcvz,133.321,-19.859,5.0,4.5,mb,4.15,2023mb2MW,WRAB,134.36,-19.9336,109.1,20.0,ea_data/1994-08-31T20.44.II.WRAB.mseed,../inputs/wf_data/1994-08-31T20.44.II.WRAB.mseed,WRAB,II,00,BHE,1994-08-31 20:48:30,551.5,proxy,II,dataless,dataless,dataless,BHE,366.0,"II.WRAB (Tennant Creek, NT, Australia)"
234,70,1994-08-31T20:48:30.000000Z,ga1994rdvcvz,133.321,-19.859,5.0,4.5,mb,4.15,2023mb2MW,SC05,135.7839,-16.967,412.5,25.0,ea_data/1994-08-31T20.46.7B.SC05.mseed,../inputs/wf_data/1994-08-31T20.46.7B.SC05.mseed,SC05,7B,,BHE,1994-08-31 20:48:30,710.4999999999999,proxy,7B,dataless,dataless,dataless,BHE,201.0,7B.SC05 (Mallapunyah)
