,missing_network,school_network,inconsistent_network,notunique_network,missing_metadata
0,missing network code (AU) added for station MEEK!,Network code revised for AUKAL station from S to S1,network code revised for LGT station from ME to OZ,GVL station is linked to 2 network!,
1,missing network code (AU) added for station MEEK!,Network code revised for AUKAL station from S to S1,network code revised for LGT station from ME to OZ,GVL station is linked to 2 network!,
2,missing network code (AU) added for station MEEK!,Network code revised for AUKAL station from S to S1,network code revised for LGT station from ME to OZ,GVL station is linked to 2 network!,
3,missing network code (AU) added for station BLDU!,Network code revised for AUKAL station from S to S1,network code revised for ABE station from SR to OZ,GVL station is linked to 2 network!,
4,missing network code (AU) added for station BLDU!,Network code revised for AUKAL station from S to S1,network code revised for ABE station from SR to OZ,GVL station is linked to 2 network!,
5,missing network code (AU) added for station BLDU!,Network code revised for AUKAL station from S to S1,network code revised for ABE station from SR to OZ,GVL station is linked to 2 network!,
6,missing network code (AU) added for station BLDU!,Network code revised for AUMAZ station from S to S1,network code revised for KOWA station from ME to OZ,GVL station is linked to 2 network!,
7,missing network code (AU) added for station BLDU!,Network code revised for AUMAZ station from S to S1,network code revised for KOWA station from ME to OZ,GVL station is linked to 2 network!,
8,missing network code (AU) added for station BLDU!,Network code revised for AUMAZ station from S to S1,network code revised for KOWA station from ME to OZ,GVL station is linked to 2 network!,
9,missing network code (AU) added for station KLBR!,Network code revised for AUMAZ station from S to S1,network code revised for MIC station from ME to OZ,GVL station is linked to 2 network!,
10,missing network code (AU) added for station KLBR!,Network code revised for AUMAZ station from S to S1,network code revised for MIC station from ME to OZ,GVL station is linked to 2 network!,
11,missing network code (AU) added for station KLBR!,Network code revised for AUMAZ station from S to S1,network code revised for MIC station from ME to OZ,GVL station is linked to 2 network!,
12,missing network code (AU) added for station KLBR!,Network code revised for AUALB station from S to S1,network code revised for HOP station from SR to OZ,GVL station is linked to 2 network!,
13,missing network code (AU) added for station KLBR!,Network code revised for AUALB station from S to S1,network code revised for HOP station from SR to OZ,GVL station is linked to 2 network!,
14,missing network code (AU) added for station KLBR!,Network code revised for AUALB station from S to S1,network code revised for HOP station from SR to OZ,GVL station is linked to 2 network!,
15,missing network code (AU) added for station KLBR!,Network code revised for AUALB station from S to S1,network code revised for WSK station from ME to OZ,GVL station is linked to 2 network!,
16,missing network code (AU) added for station KLBR!,Network code revised for AUALB station from S to S1,network code revised for WSK station from ME to OZ,GVL station is linked to 2 network!,
17,missing network code (AU) added for station KLBR!,Network code revised for AUALB station from S to S1,network code revised for WSK station from ME to OZ,GVL station is linked to 2 network!,
18,missing network code (AU) added for station KLBR!,Network code revised for AUHAR station from S to S1,network code revised for MEM station from ME to OZ,MBWA station is linked to 2 network!,
19,missing network code (AU) added for station KLBR!,Network code revised for AUHAR station from S to S1,network code revised for MEM station from ME to OZ,NWAO station is linked to 2 network!,
20,missing network code (AU) added for station KLBR!,Network code revised for AUHAR station from S to S1,network code revised for MEM station from ME to OZ,NWAO station is linked to 2 network!,
21,missing network code (AU) added for station MORW!,Network code revised for AUHAR station from S to S1,network code revised for TOD station from ME to OZ,NWAO station is linked to 2 network!,
22,missing network code (AU) added for station MORW!,Network code revised for AUHAR station from S to S1,network code revised for TOD station from ME to OZ,FR27 station is linked to 2 network!,
23,missing network code (AU) added for station MORW!,Network code revised for AUHAR station from S to S1,network code revised for TOD station from ME to OZ,FR27 station is linked to 2 network!,
