,PAZ_FILE,SAMPLING_RATE,PAZ_CRN_FREQ,REV_CHA
0,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
1,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
2,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
3,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
4,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
5,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
6,../inputs/paz/s6000-2hz.paz,200.0,1.84,EHE
7,../inputs/paz/s6000-2hz.paz,200.0,1.84,EHN
8,../inputs/paz/s6000-2hz.paz,200.0,1.84,EHZ
9,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
10,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
11,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
12,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
13,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
14,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
15,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
16,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
17,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
18,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
19,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
20,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
21,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
22,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
23,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
24,../inputs/paz/cmg-5t.paz,200.0,0.0,HNE
25,../inputs/paz/cmg-5t.paz,200.0,0.0,HNN
26,../inputs/paz/cmg-5t.paz,200.0,0.0,HNZ
29,../inputs/paz/willmore.paz,20.0,0.99,SHZ
30,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHE
32,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHN
33,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
36,../inputs/paz/willmore.paz,20.0,0.99,SHZ
48,../inputs/paz/willmore.paz,20.0,0.99,SHZ
57,../inputs/paz/willmore.paz,20.0,0.99,SHZ
75,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHE
76,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHN
77,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
81,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
82,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
83,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
84,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
85,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
86,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
87,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
88,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
89,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
90,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
91,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
92,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
93,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
94,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
95,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
96,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
97,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
98,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
99,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
100,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
101,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
102,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
103,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHN
104,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
105,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
106,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
107,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
108,../inputs/paz/hsa-3.paz,100.0,0.0,HNE
109,../inputs/paz/hsa-3.paz,100.0,0.0,HNN
110,../inputs/paz/hsa-3.paz,100.0,0.0,HNZ
111,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
112,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHN
113,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
117,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
118,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHN
119,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
123,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
124,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHN
125,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
126,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
127,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
128,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
129,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
130,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
131,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
138,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
139,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
140,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
141,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
142,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
143,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
144,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
146,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
147,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
148,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
149,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
150,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
151,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
152,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
153,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
155,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
156,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
157,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
158,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
159,../inputs/paz/hsa-3.paz,100.0,0.0,HNE
160,../inputs/paz/hsa-3.paz,100.0,0.0,HNN
161,../inputs/paz/hsa-3.paz,100.0,0.0,HNZ
165,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
166,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
167,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
168,../inputs/paz/hsa-3.paz,100.0,0.0,HNE
169,../inputs/paz/hsa-3.paz,100.0,0.0,HNN
170,../inputs/paz/hsa-3.paz,100.0,0.0,HNZ
171,../inputs/paz/sts1.paz,1.0,0.02,NOPEHE
172,../inputs/paz/sts1.paz,0.1,0.02,NOPEHE
173,../inputs/paz/sts1.paz,1.0,0.02,NOPEHN
