,STA,STLA,STLO,VS,VS_FLAG
0,LGT,-36.76326,147.46358,617.3333333333334,measured
1,LGT,-36.76326,147.46358,617.3333333333334,measured
2,LGT,-36.76326,147.46358,617.3333333333334,measured
3,ABE,-37.719352,146.389012,572.5,proxy
4,ABE,-37.719352,146.389012,572.5,proxy
5,ABE,-37.719352,146.389012,572.5,proxy
6,KOWA,-35.7909,144.5214,248.0,proxy
7,KOWA,-35.7909,144.5214,248.0,proxy
8,KOWA,-35.7909,144.5214,248.0,proxy
9,MIC,-37.903344,146.359389,1000.0,proxy
10,MIC,-37.903344,146.359389,1000.0,proxy
11,MIC,-37.903344,146.359389,1000.0,proxy
12,HOP,-35.99638,144.20458,859.5,proxy
13,HOP,-35.99638,144.20458,859.5,proxy
14,HOP,-35.99638,144.20458,859.5,proxy
15,WSK,-36.8138,144.05327,574.5,proxy
16,WSK,-36.8138,144.05327,574.5,proxy
17,WSK,-36.8138,144.05327,574.5,proxy
18,MEM,-37.63576,144.49613,831.5,proxy
19,MEM,-37.63576,144.49613,831.5,proxy
20,MEM,-37.63576,144.49613,831.5,proxy
21,TOD,-37.637,144.497,859.0,proxy
22,TOD,-37.637,144.497,859.0,proxy
23,TOD,-37.637,144.497,859.0,proxy
24,DOW,-31.01,116.982,956.5,proxy
25,DOW,-31.01,116.982,956.5,proxy
26,DOW,-31.01,116.982,956.5,proxy
27,STK,-31.882,141.592,566.5,proxy
28,STK,-31.882,141.592,566.5,proxy
29,STK,-31.882,141.592,566.5,proxy
30,CTA,-20.088,146.255,932.2499999999999,proxy
31,CTA,-20.088,146.255,932.2499999999999,proxy
32,CTA,-20.088,146.255,932.2499999999999,proxy
33,CTA,-20.088,146.255,932.2499999999999,proxy
34,STK,-31.882,141.592,566.5,proxy
35,STK,-31.882,141.592,566.5,proxy
36,STK,-31.882,141.592,566.5,proxy
37,CTAO,-20.088,146.255,827.0,proxy
38,CTAO,-20.088,146.255,827.0,proxy
39,CTAO,-20.088,146.255,827.0,proxy
40,CTAO,-20.088,146.255,827.0,proxy
41,CTAO,-20.088,146.255,827.0,proxy
42,CTAO,-20.088,146.255,827.0,proxy
43,CTAO,-20.088,146.255,827.0,proxy
44,CTAO,-20.088,146.255,827.0,proxy
45,CTAO,-20.088,146.255,827.0,proxy
46,STK,-31.882,141.592,566.5,proxy
47,STK,-31.882,141.592,566.5,proxy
48,STK,-31.882,141.592,566.5,proxy
49,CTAO,-20.088,146.255,827.0,proxy
50,CTAO,-20.088,146.255,827.0,proxy
51,CTAO,-20.088,146.255,827.0,proxy
52,CTAO,-20.088,146.255,827.0,proxy
53,CTAO,-20.088,146.255,827.0,proxy
54,CTAO,-20.088,146.255,827.0,proxy
55,STK,-31.882,141.592,566.5,proxy
56,STK,-31.882,141.592,566.5,proxy
57,STK,-31.882,141.592,566.5,proxy
58,CTAO,-20.088,146.255,827.0,proxy
59,CTAO,-20.088,146.255,827.0,proxy
60,CTAO,-20.088,146.255,827.0,proxy
61,CTAO,-20.088,146.255,827.0,proxy
62,CTAO,-20.088,146.255,827.0,proxy
63,CTAO,-20.088,146.255,827.0,proxy
64,CTAO,-20.088,146.255,827.0,proxy
65,CTAO,-20.088,146.255,827.0,proxy
66,CTAO,-20.088,146.255,827.0,proxy
67,CTAO,-20.088,146.255,827.0,proxy
68,CTAO,-20.088,146.255,827.0,proxy
69,CTAO,-20.088,146.255,827.0,proxy
70,CTAO,-20.088,146.255,827.0,proxy
71,CTAO,-20.088,146.255,827.0,proxy
72,CTAO,-20.088,146.255,827.0,proxy
73,CTAO,-20.088,146.255,827.0,proxy
74,CTAO,-20.088,146.255,827.0,proxy
75,CTA,-20.088,146.255,932.2499999999999,proxy
76,CTA,-20.088,146.255,932.2499999999999,proxy
77,CTA,-20.088,146.255,932.2499999999999,proxy
78,SB01,-25.792,139.589,354.5,proxy
79,SB01,-25.792,139.589,354.5,proxy
80,SB01,-25.792,139.589,354.5,proxy
81,MTLZ,-38.4131,146.5705,975.5000000000001,proxy
82,MTLZ,-38.4131,146.5705,975.5000000000001,proxy
83,MTLZ,-38.4131,146.5705,975.5000000000001,proxy
84,TYR,-38.1083,146.4354,1004.5,proxy
85,TYR,-38.1083,146.4354,1004.5,proxy
86,TYR,-38.1083,146.4354,1004.5,proxy
87,PAT,-37.857253,146.455572,830.5000000000001,proxy
88,PAT,-37.857253,146.455572,830.5000000000001,proxy
89,PAT,-37.857253,146.455572,830.5000000000001,proxy
90,TOS,-37.82428,146.40573,824.0,proxy
91,TOS,-37.82428,146.40573,824.0,proxy
92,TOS,-37.82428,146.40573,824.0,proxy
93,SIN,-37.739,146.292,1014.0,proxy
94,SIN,-37.739,146.292,1014.0,proxy
95,SIN,-37.739,146.292,1014.0,proxy
96,ABE,-37.719352,146.389012,572.5,proxy
97,ABE,-37.719352,146.389012,572.5,proxy
98,ABE,-37.719352,146.389012,572.5,proxy
99,MCV,-37.69085,145.89867,830.0,proxy
100,MCV,-37.69085,145.89867,830.0,proxy
101,MCV,-37.69085,145.89867,830.0,proxy
102,GOG,-36.888,142.4,585.0,proxy
103,GOG,-36.888,142.4,585.0,proxy
104,GOG,-36.888,142.4,585.0,proxy
105,NLD,-32.9003,151.7009,481.83333333333337,measured
106,NLD,-32.9003,151.7009,481.83333333333337,measured
107,NLD,-32.9003,151.7009,481.83333333333337,measured
108,NLD,-32.9003,151.7009,481.83333333333337,measured
109,NLD,-32.9003,151.7009,481.83333333333337,measured
110,NLD,-32.9003,151.7009,481.83333333333337,measured
111,KIM,-32.9518,151.7507,950.0,proxy
112,KIM,-32.9518,151.7507,950.0,proxy
113,KIM,-32.9518,151.7507,950.0,proxy
114,NPS,-32.9,151.8,850.0,proxy
115,NPS,-32.9,151.8,850.0,proxy
116,NPS,-32.9,151.8,850.0,proxy
117,CHI,-32.243,151.6808,1004.5,proxy
118,CHI,-32.243,151.6808,1004.5,proxy
119,CHI,-32.243,151.6808,1004.5,proxy
120,MHL,-33.7835,151.2567,991.5,proxy
121,MHL,-33.7835,151.2567,991.5,proxy
122,MHL,-33.7835,151.2567,991.5,proxy
123,RIV,-33.83,151.1583,808.5000000000001,measured
124,RIV,-33.83,151.1583,808.5000000000001,measured
125,RIV,-33.83,151.1583,808.5000000000001,measured
126,PHD,-33.847,150.969,792.5,proxy
127,PHD,-33.847,150.969,792.5,proxy
128,PHD,-33.847,150.969,792.5,proxy
129,GRV,-33.66182,150.30915,866.5,proxy
130,GRV,-33.66182,150.30915,866.5,proxy
131,GRV,-33.66182,150.30915,866.5,proxy
132,WDA,-33.883,150.5927,895.0,proxy
133,WDA,-33.883,150.5927,895.0,proxy
134,WDA,-33.883,150.5927,895.0,proxy
135,LHB,-34.05367,150.97865,880.9999999999999,proxy
136,LHB,-34.05367,150.97865,880.9999999999999,proxy
137,LHB,-34.05367,150.97865,880.9999999999999,proxy
138,WED,-33.9503,150.5803,959.5,proxy
139,WED,-33.9503,150.5803,959.5,proxy
140,WED,-33.9503,150.5803,959.5,proxy
141,KTL,-33.8621,150.40426,690.1666666666666,measured
142,KTL,-33.8621,150.40426,690.1666666666666,measured
143,KTL,-33.8621,150.40426,690.1666666666666,measured
144,JBD,-33.762,150.049,887.0,proxy
145,JBD,-33.762,150.049,887.0,proxy
146,JBD,-33.762,150.049,887.0,proxy
147,KAN,-33.9966,150.0668,1000.5000000000001,proxy
148,KAN,-33.9966,150.0668,1000.5000000000001,proxy
149,KAN,-33.9966,150.0668,1000.5000000000001,proxy
150,YER,-34.14247,150.23205,1000.0,proxy
151,YER,-34.14247,150.23205,1000.0,proxy
152,YER,-34.14247,150.23205,1000.0,proxy
153,FTZ,-34.64215,150.48384,575.5,proxy
154,FTZ,-34.64215,150.48384,575.5,proxy
155,FTZ,-34.64215,150.48384,575.5,proxy
156,TAL,-34.77094,150.38091,710.6666666666666,measured
157,TAL,-34.77094,150.38091,710.6666666666666,measured
158,TAL,-34.77094,150.38091,710.6666666666666,measured
159,ASC,-35.289,149.139,839.0,proxy
160,ASC,-35.289,149.139,839.0,proxy
161,ASC,-35.289,149.139,839.0,proxy
162,PHB,-35.31,149.123,728.4999999999999,proxy
163,PHB,-35.31,149.123,728.4999999999999,proxy
164,PHB,-35.31,149.123,728.4999999999999,proxy
165,COP,-29.918,150.935,849.0,proxy
166,COP,-29.918,150.935,849.0,proxy
167,COP,-29.918,150.935,849.0,proxy
168,COP,-29.918,150.935,849.0,proxy
169,COP,-29.918,150.935,849.0,proxy
170,COP,-29.918,150.935,849.0,proxy
171,CAN,-35.32,148.998,809.5,proxy
172,CAN,-35.32,148.998,809.5,proxy
173,CAN,-35.32,148.998,809.5,proxy
174,CAN,-35.32,148.998,809.5,proxy
175,CAN,-35.32,148.998,809.5,proxy
176,CAN,-35.32,148.998,809.5,proxy
177,CAV,-29.648,151.624,993.4999999999999,proxy
178,CAV,-29.648,151.624,993.4999999999999,proxy
179,CAV,-29.648,151.624,993.4999999999999,proxy
180,PIN,-29.398,151.241,975.9999999999999,proxy
181,PIN,-29.398,151.241,975.9999999999999,proxy
182,PIN,-29.398,151.241,975.9999999999999,proxy
183,PIN,-29.398,151.241,975.9999999999999,proxy
184,CRD,-36.991,143.972,769.0,proxy
185,CRD,-36.991,143.972,769.0,proxy
186,CRD,-36.991,143.972,769.0,proxy
187,STKA,-31.8769,141.5952,622.0,proxy
188,CTA,-20.088,146.255,932.2499999999999,proxy
189,FORT,-30.799,128.059,397.80000000000007,proxy
190,SC05,-16.967,135.784,710.4999999999999,proxy
191,SC05,-16.967,135.784,710.4999999999999,proxy
192,SC05,-16.967,135.784,710.4999999999999,proxy
193,EUAB,-33.42728,148.35842,791.5,proxy
194,EUAB,-33.42728,148.35842,791.5,proxy
195,EUAB,-33.42728,148.35842,791.5,proxy
196,EUCH,-33.42862,148.37079,387.99999999999994,proxy
197,EUCH,-33.42862,148.37079,387.99999999999994,proxy
198,EUCH,-33.42862,148.37079,387.99999999999994,proxy
199,EUGY,-33.43543,148.37972,299.5,proxy
200,EUGY,-33.43543,148.37972,299.5,proxy
201,EUGY,-33.43543,148.37972,299.5,proxy
202,EUSH,-33.4073,148.34267,585.5,proxy
203,EUSH,-33.4073,148.34267,585.5,proxy
204,EUSH,-33.4073,148.34267,585.5,proxy
205,JBD,-33.762,150.049,887.0,proxy
206,JBD,-33.762,150.049,887.0,proxy
207,JBD,-33.762,150.049,887.0,proxy
208,WED,-33.9503,150.5803,959.5,proxy
209,WED,-33.9503,150.5803,959.5,proxy
210,WED,-33.9503,150.5803,959.5,proxy
211,AVD,-34.3764,150.615,923.4999999999999,proxy
212,AVD,-34.3764,150.615,923.4999999999999,proxy
213,AVD,-34.3764,150.615,923.4999999999999,proxy
214,ARMA,-30.4198,151.628,896.0,proxy
215,ARMA,-30.4198,151.628,896.0,proxy
216,ARMA,-30.4198,151.628,896.0,proxy
217,STKA,-31.8769,141.5952,622.0,proxy
218,STKA,-31.8769,141.5952,622.0,proxy
219,STKA,-31.8769,141.5952,622.0,proxy
220,WRAB,-19.9336,134.36,551.5,proxy
221,WRAB,-19.9336,134.36,551.5,proxy
222,WRAB,-19.9336,134.36,551.5,proxy
223,WRAB,-19.9336,134.36,551.5,proxy
224,WRAB,-19.9336,134.36,551.5,proxy
225,WRAB,-19.9336,134.36,551.5,proxy
226,WRAB,-19.9336,134.36,551.5,proxy
227,WRAB,-19.9336,134.36,551.5,proxy
228,SC08,-22.2748,131.3672,299.5,proxy
229,SC08,-22.2748,131.3672,299.5,proxy
230,SC08,-22.2748,131.3672,299.5,proxy
231,SC05,-16.967,135.7839,710.4999999999999,proxy
232,SC05,-16.967,135.7839,710.4999999999999,proxy
233,SC05,-16.967,135.7839,710.4999999999999,proxy
234,SC06,-19.1437,128.1179,285.5,proxy
235,SC06,-19.1437,128.1179,285.5,proxy
236,SC06,-19.1437,128.1179,285.5,proxy
237,SC03,-16.6298,129.3168,275.0,proxy
238,SC03,-16.6298,129.3168,275.0,proxy
239,SC03,-16.6298,129.3168,275.0,proxy
240,SC10,-25.19,133.3241,403.99999999999994,proxy
241,SC10,-25.19,133.3241,403.99999999999994,proxy
242,SC10,-25.19,133.3241,403.99999999999994,proxy
243,SC01,-13.4,131.5017,862.0,proxy
244,SC01,-13.4,131.5017,862.0,proxy
245,SC01,-13.4,131.5017,862.0,proxy
246,KAN,-33.9966,150.0668,1000.5000000000001,proxy
247,KAN,-33.9966,150.0668,1000.5000000000001,proxy
248,KAN,-33.9966,150.0668,1000.5000000000001,proxy
249,KTL,-33.8621,150.40426,690.1666666666666,measured
250,KTL,-33.8621,150.40426,690.1666666666666,measured
251,KTL,-33.8621,150.40426,690.1666666666666,measured
252,GRV,-33.66182,150.30915,866.5,proxy
253,GRV,-33.66182,150.30915,866.5,proxy
254,GRV,-33.66182,150.30915,866.5,proxy
255,YER,-34.14247,150.23205,1000.0,proxy
256,YER,-34.14247,150.23205,1000.0,proxy
257,YER,-34.14247,150.23205,1000.0,proxy
258,NAT,-34.20607,150.42669,807.3333333333334,measured
259,NAT,-34.20607,150.42669,807.3333333333334,measured
260,NAT,-34.20607,150.42669,807.3333333333334,measured
261,AVD,-34.3764,150.615,923.4999999999999,proxy
262,AVD,-34.3764,150.615,923.4999999999999,proxy
263,AVD,-34.3764,150.615,923.4999999999999,proxy
264,APN,-34.17086,150.82345,775.4999999999999,proxy
265,APN,-34.17086,150.82345,775.4999999999999,proxy
266,APN,-34.17086,150.82345,775.4999999999999,proxy
267,PHD,-33.847,150.969,792.5,proxy
268,PHD,-33.847,150.969,792.5,proxy
269,PHD,-33.847,150.969,792.5,proxy
270,PHD,-33.847,150.969,792.5,proxy
271,PHD,-33.847,150.969,792.5,proxy
272,PHD,-33.847,150.969,792.5,proxy
273,CPX,-34.47647,150.62474,1003.4999999999999,proxy
274,CPX,-34.47647,150.62474,1003.4999999999999,proxy
275,CPX,-34.47647,150.62474,1003.4999999999999,proxy
276,LBX,-34.27212,150.87355,997.5,proxy
277,LBX,-34.27212,150.87355,997.5,proxy
278,LBX,-34.27212,150.87355,997.5,proxy
279,FTZ,-34.64215,150.48384,575.5,proxy
280,FTZ,-34.64215,150.48384,575.5,proxy
281,FTZ,-34.64215,150.48384,575.5,proxy
282,FTZ,-34.64215,150.48384,575.5,proxy
283,FTZ,-34.64215,150.48384,575.5,proxy
284,FTZ,-34.64215,150.48384,575.5,proxy
285,TAL,-34.77094,150.38091,710.6666666666666,measured
286,TAL,-34.77094,150.38091,710.6666666666666,measured
287,TAL,-34.77094,150.38091,710.6666666666666,measured
288,BUD,-34.67626,150.67066,822.5,proxy
289,BUD,-34.67626,150.67066,822.5,proxy
290,BUD,-34.67626,150.67066,822.5,proxy
291,EUG,-33.4182,148.3418,822.5,proxy
292,EUG,-33.4182,148.3418,822.5,proxy
293,EUG,-33.4182,148.3418,822.5,proxy
294,BJE,-34.9505,148.646,1117.3333333333335,measured
295,BJE,-34.9505,148.646,1117.3333333333335,measured
296,BJE,-34.9505,148.646,1117.3333333333335,measured
297,DRA,-35.965,147.375,1043.5,measured
298,DRA,-35.965,147.375,1043.5,measured
299,DRA,-35.965,147.375,1043.5,measured
300,GRV,-33.66182,150.30915,866.5,proxy
301,GRV,-33.66182,150.30915,866.5,proxy
302,GRV,-33.66182,150.30915,866.5,proxy
303,WGB,-33.86605,150.57505,918.0000000000001,proxy
304,WGB,-33.86605,150.57505,918.0000000000001,proxy
305,WGB,-33.86605,150.57505,918.0000000000001,proxy
306,KTL,-33.8621,150.40426,690.1666666666666,measured
307,KTL,-33.8621,150.40426,690.1666666666666,measured
308,KTL,-33.8621,150.40426,690.1666666666666,measured
309,JBD,-33.762,150.049,887.0,proxy
310,JBD,-33.762,150.049,887.0,proxy
311,JBD,-33.762,150.049,887.0,proxy
312,JBD,-33.762,150.049,887.0,proxy
313,JBD,-33.762,150.049,887.0,proxy
314,JBD,-33.762,150.049,887.0,proxy
315,APN,-34.17086,150.82345,775.4999999999999,proxy
316,APN,-34.17086,150.82345,775.4999999999999,proxy
317,APN,-34.17086,150.82345,775.4999999999999,proxy
318,LBX,-34.27212,150.87355,997.5,proxy
319,LBX,-34.27212,150.87355,997.5,proxy
320,LBX,-34.27212,150.87355,997.5,proxy
321,KAN,-33.9966,150.0668,1000.5000000000001,proxy
322,KAN,-33.9966,150.0668,1000.5000000000001,proxy
323,KAN,-33.9966,150.0668,1000.5000000000001,proxy
324,NAT,-34.20607,150.42669,807.3333333333334,measured
325,NAT,-34.20607,150.42669,807.3333333333334,measured
326,NAT,-34.20607,150.42669,807.3333333333334,measured
327,YER,-34.14247,150.23205,1000.0,proxy
328,YER,-34.14247,150.23205,1000.0,proxy
329,YER,-34.14247,150.23205,1000.0,proxy
330,YER,-34.14247,150.23205,1000.0,proxy
331,YER,-34.14247,150.23205,1000.0,proxy
332,YER,-34.14247,150.23205,1000.0,proxy
333,AVD,-34.3764,150.615,923.4999999999999,proxy
334,AVD,-34.3764,150.615,923.4999999999999,proxy
335,AVD,-34.3764,150.615,923.4999999999999,proxy
336,AVD,-34.3764,150.615,923.4999999999999,proxy
337,AVD,-34.3764,150.615,923.4999999999999,proxy
338,AVD,-34.3764,150.615,923.4999999999999,proxy
339,FTZ,-34.642,150.484,575.5,proxy
340,FTZ,-34.642,150.484,575.5,proxy
341,FTZ,-34.642,150.484,575.5,proxy
342,FTZ,-34.642,150.484,575.5,proxy
343,FTZ,-34.642,150.484,575.5,proxy
344,FTZ,-34.642,150.484,575.5,proxy
345,BJE,-34.95,148.646,1117.3333333333335,measured
346,BJE,-34.95,148.646,1117.3333333333335,measured
347,BJE,-34.95,148.646,1117.3333333333335,measured
348,QIS,-20.558,139.605,737.5,proxy
349,KAKA,-12.711,132.44,740.4999999999999,proxy
350,SD05,-29.001,133.585,263.0,proxy
351,SD05,-29.001,133.585,263.0,proxy
352,SD05,-29.001,133.585,263.0,proxy
353,CTA,-20.088,146.255,932.2499999999999,proxy
354,CTA,-20.088,146.255,932.2499999999999,proxy
355,CTA,-20.088,146.255,932.2499999999999,proxy
356,CTAO,-20.088,146.255,827.0,proxy
357,CTAO,-20.088,146.255,827.0,proxy
358,CTAO,-20.088,146.255,827.0,proxy
359,CTAO,-20.088,146.255,827.0,proxy
360,CTAO,-20.088,146.255,827.0,proxy
361,CTAO,-20.088,146.255,827.0,proxy
362,CTAO,-20.088,146.255,827.0,proxy
363,FORT,-30.799,128.059,397.80000000000007,proxy
364,STKA,-31.877,141.595,622.0,proxy
365,STKA,-31.877,141.595,622.0,proxy
366,STKA,-31.877,141.595,622.0,proxy
367,RMQ,-26.489,148.755,847.0,proxy
368,MEEK,-26.638,118.614,522.0,proxy
369,CMSA,-31.539,145.69,837.75,proxy
370,MEEK,-26.638,118.614,522.0,proxy
371,NWAO,-32.928,117.239,769.2222222222221,proxy
372,NWAO,-32.928,117.239,769.2222222222221,proxy
373,NWAO,-32.928,117.239,769.2222222222221,proxy
374,NWAO,-32.928,117.239,769.2222222222221,proxy
375,NWAO,-32.928,117.239,769.2222222222221,proxy
376,NWAO,-32.928,117.239,769.2222222222221,proxy
377,NWAO,-32.928,117.239,769.2222222222221,proxy
378,FORT,-30.799,128.059,397.80000000000007,proxy
379,WOOL,-31.073,121.678,291.0,proxy
380,WOOL,-31.073,121.678,291.0,proxy
381,WOOL,-31.073,121.678,291.0,proxy
382,WARB,-26.184,126.643,566.0,proxy
383,WARB,-26.184,126.643,566.0,proxy
384,WARB,-26.184,126.643,566.0,proxy
385,BBOO,-32.81,136.056,545.4999999999999,proxy
386,PDA,-35.806,137.239,347.99999999999994,proxy
387,PDA,-35.806,137.239,347.99999999999994,proxy
388,PDA,-35.806,137.239,347.99999999999994,proxy
389,STKA,-31.877,141.595,622.0,proxy
390,STKA,-31.877,141.595,622.0,proxy
391,STKA,-31.877,141.595,622.0,proxy
392,FORT,-30.799,128.059,397.80000000000007,proxy
393,CMSA,-31.539,145.69,837.75,proxy
394,YOU,-34.278,148.382,930.0,proxy
395,WARB,-26.184,126.643,566.0,proxy
396,WARB,-26.184,126.643,566.0,proxy
397,WARB,-26.184,126.643,566.0,proxy
398,QIS,-20.558,139.605,737.5,proxy
399,MEEK,-26.638,118.614,522.0,proxy
400,RMQ,-26.489,148.755,847.0,proxy
401,YOU,-34.278,148.382,930.0,proxy
402,BBOO,-32.8097,136.0564,545.4999999999999,proxy
403,CAN,-35.32,148.998,809.5,proxy
404,CAN,-35.32,148.998,809.5,proxy
405,CAN,-35.32,148.998,809.5,proxy
406,ARMA,-30.4198,151.628,896.0,proxy
407,ARMA,-30.4198,151.628,896.0,proxy
408,TOO,-37.5717,145.49,1003.2500000000001,measured
409,TOO,-37.5717,145.49,1003.2500000000001,measured
410,TOO,-37.5717,145.49,1003.2500000000001,measured
411,QIS,-20.5577,139.6052,737.5,proxy
412,CTA,-20.0883,146.255,932.2499999999999,proxy
413,CTA,-20.0883,146.255,932.2499999999999,proxy
414,CTA,-20.0883,146.255,932.2499999999999,proxy
415,FORT,-30.799,128.059,397.80000000000007,proxy
416,WARB,-26.184,126.643,566.0,proxy
417,WARB,-26.184,126.643,566.0,proxy
418,WARB,-26.184,126.643,566.0,proxy
419,WOOL,-31.073,121.678,291.0,proxy
420,WOOL,-31.073,121.678,291.0,proxy
421,WOOL,-31.073,121.678,291.0,proxy
422,KAKA,-12.711,132.44,740.4999999999999,proxy
423,CMSA,-31.539,145.6903,837.75,proxy
424,YOU,-34.278,148.382,930.0,proxy
425,RMQ,-26.489,148.755,847.0,proxy
426,ARMA,-30.4198,151.628,896.0,proxy
427,ARMA,-30.4198,151.628,896.0,proxy
428,ARMA,-30.4198,151.628,896.0,proxy
429,TOO,-37.5717,145.49,1003.2500000000001,measured
430,TOO,-37.5717,145.49,1003.2500000000001,measured
431,TOO,-37.5717,145.49,1003.2500000000001,measured
432,QIS,-20.5577,139.6052,737.5,proxy
433,FORT,-30.799,128.059,397.80000000000007,proxy
434,KAKA,-12.711,132.44,740.4999999999999,proxy
435,TMA,-37.84402,146.3972,900.0,proxy
436,TMA,-37.84402,146.3972,900.0,proxy
437,TMA,-37.84402,146.3972,900.0,proxy
438,TOS,-37.82428,146.40573,824.0,proxy
439,TOS,-37.82428,146.40573,824.0,proxy
440,TOS,-37.82428,146.40573,824.0,proxy
441,ABE,-37.719352,146.389012,572.5,proxy
442,ABE,-37.719352,146.389012,572.5,proxy
443,ABE,-37.719352,146.389012,572.5,proxy
444,TYR,-38.1083,146.4354,1004.5,proxy
445,TYR,-38.1083,146.4354,1004.5,proxy
446,TYR,-38.1083,146.4354,1004.5,proxy
447,MCV,-37.69085,145.89867,830.0,proxy
448,MCV,-37.69085,145.89867,830.0,proxy
449,MCV,-37.69085,145.89867,830.0,proxy
450,MTLX,-38.402,146.564,1000.0,proxy
451,MTLX,-38.402,146.564,1000.0,proxy
452,MTLX,-38.402,146.564,1000.0,proxy
453,CDN,-37.94616,145.42518,1005.9999999999999,proxy
454,CDN,-37.94616,145.42518,1005.9999999999999,proxy
455,CDN,-37.94616,145.42518,1005.9999999999999,proxy
